Rank,Name,1 - Least Walkable,2 - Below Avg,3 - Above Avg,4 - Most Walkable,Avg Walkability Index
421,"Livonia, Michigan",11154.0,75573.0,7522.0,0.0,4.356346653964219
422,"Edmond, Oklahoma",11000.0,73905.0,15226.0,0.0,4.353364198163564
423,"Huntsville, Alabama",74956.0,154190.0,47468.0,16257.0,4.3506896066509615
424,"O'Fallon, Missouri",7768.0,119876.0,3400.0,0.0,4.340062156704299
425,"Mesquite, Texas",33609.0,85443.0,26558.0,1754.0,4.336677064597652
426,"Akron, Ohio",24528.0,189212.0,23418.0,0.0,4.331162303079316
427,"Waterloo, Iowa",9595.0,51499.0,10967.0,0.0,4.318009084408751
428,"Nashua, New Hampshire",17620.0,76765.0,17380.0,0.0,4.312552183034422
429,"Billings, Montana",21915.0,84437.0,23186.0,0.0,4.3017135390468635
430,"Hoover, Alabama",29924.0,84740.0,14400.0,1359.0,4.296623900288818
431,"Las Cruces, New Mexico",18568.0,88522.0,23294.0,0.0,4.288600151132526
432,"Arlington, Texas",39826.0,327600.0,49617.0,0.0,4.2805471782096935
433,"Laredo, Texas",55658.0,166650.0,42555.0,0.0,4.265302300275593
434,"Pharr, Texas",16788.0,56613.0,8606.0,0.0,4.247920748742245
435,"Greensboro, North Carolina",44170.0,271133.0,38367.0,4197.0,4.244953542723091
436,"Frisco, Texas",21480.0,175775.0,20040.0,0.0,4.2364875060704525
437,"Palmdale, California",18089.0,146139.0,13582.0,0.0,4.2314839316952755
438,"Tyler, Texas",20441.0,100226.0,18633.0,0.0,4.2309128348509475
439,"Lancaster, California",29831.0,111155.0,26610.0,2355.0,4.228933943498884
440,"Lake Charles, Louisiana",11359.0,77200.0,8932.0,0.0,4.21767191465447
441,"Longview, Texas",18940.0,67463.0,8044.0,0.0,4.216412936690196
442,"Farmington Hills, Michigan",3192.0,81043.0,3563.0,0.0,4.213969326720066
443,"Charleston, West Virginia",17217.0,33757.0,12281.0,0.0,4.211835552837512
444,"Sterling Heights, Michigan",14974.0,118204.0,0.0,0.0,4.211716452298506
445,"Columbia, Missouri",19335.0,110342.0,17980.0,0.0,4.201039714017159
446,"Fort Smith, Arkansas",17298.0,74893.0,8624.0,0.0,4.1985669425759005
447,"Rapid City, South Dakota",14217.0,63167.0,15888.0,0.0,4.196285002324837
448,"Pearland, Texas",19939.0,169007.0,1161.0,0.0,4.18607055915602
449,"Mobile, Alabama",40386.0,168844.0,20780.0,0.0,4.17478496358282
450,"Odessa, Texas",27779.0,83814.0,24448.0,0.0,4.1736666848500406
451,"High Point, North Carolina",28540.0,90644.0,9167.0,3132.0,4.162878971345905
452,"Baton Rouge, Louisiana",43292.0,206329.0,24377.0,0.0,4.1533359252334145
453,"Kalamazoo, Michigan",11307.0,67733.0,5349.0,0.0,4.146192351085919
454,"Westland, Michigan",14308.0,59724.0,7906.0,0.0,4.1434605240676206
455,"San Angelo, Texas",23053.0,70858.0,12452.0,0.0,4.139593952586401
456,"Broken Arrow, Oklahoma",33505.0,74960.0,21530.0,579.0,4.137664828897185
457,"Springdale, Arkansas",15306.0,76571.0,5208.0,0.0,4.13659273073243
458,"Baytown, Texas",17944.0,76939.0,13741.0,0.0,4.130491662208992
459,"Rock Hill, South Carolina",28064.0,68558.0,9077.0,0.0,4.117949380589669
460,"Pueblo, Colorado",19042.0,98348.0,5853.0,1112.0,4.116337141756728
461,"Greenville, North Carolina",27284.0,92206.0,13594.0,0.0,4.114656512942361
462,"Wichita Falls, Texas",20946.0,73860.0,12353.0,0.0,4.091018707567356
463,"College Station, Texas",23879.0,94130.0,4965.0,0.0,4.0894206991122655
464,"Lawton, Oklahoma",23771.0,65559.0,10456.0,0.0,4.084351037536116
465,"Missouri City, Texas",15683.0,124079.0,10525.0,0.0,4.075444071396028
466,"Abilene, Texas",34271.0,81575.0,15975.0,0.0,4.073968128231307
467,"Gary, Indiana",19965.0,52263.0,6345.0,0.0,4.060397404492101
468,"Athens, Georgia",41050.0,68630.0,16496.0,0.0,4.059803057049802
469,"Rochester, Minnesota",39167.0,75798.0,13115.0,595.0,4.048818218072869
470,"Rochester Hills, Michigan",24793.0,50329.0,6571.0,0.0,4.0467849142521395
471,"Port St. Lucie, Florida",15817.0,193509.0,0.0,0.0,4.034290130177205
472,"Jonesboro, Arkansas",13105.0,67707.0,3713.0,0.0,4.03370475879139
473,"Macon, Georgia",32291.0,71914.0,8527.0,0.0,4.029775088379146
474,"Beaumont, Texas",35439.0,88393.0,4807.0,0.0,4.028359043115762
475,"Green Bay, Wisconsin",18696.0,98770.0,7290.0,0.0,4.020563297451361
476,"Grand Prairie, Texas",37915.0,143303.0,17625.0,0.0,4.009063484891678
477,"Rockford, Illinois",39166.0,136458.0,7944.0,0.0,4.001463963447362
478,"Waco, Texas",51347.0,110249.0,15487.0,0.0,3.98688081741033
479,"Decatur, Illinois",19557.0,59860.0,6309.0,0.0,3.9809533925100413
480,"Bryan, Texas",24518.0,66490.0,5352.0,0.0,3.975409648030413
481,"Tuscaloosa, Alabama",44006.0,98075.0,7693.0,0.0,3.937718267452787
482,"Columbus, Georgia",45929.0,135749.0,14348.0,0.0,3.9355049303341607
483,"Gulfport, Mississippi",20093.0,62312.0,4103.0,0.0,3.912908571887479
484,"Gastonia, North Carolina",29142.0,69879.0,5409.0,651.0,3.8934551240922417
485,"Warner Robins, Georgia",23027.0,106654.0,819.0,0.0,3.8907858439201446
486,"Youngstown, Ohio",17240.0,45772.0,6651.0,0.0,3.8830901701953096
487,"Winston-Salem, North Carolina",88647.0,176520.0,21014.0,5147.0,3.8816886988657395
488,"Mission, Texas",11536.0,96264.0,963.0,0.0,3.8718911762272095
489,"Murfreesboro, Tennessee",66295.0,108877.0,8709.0,1570.0,3.866741647460288
490,"Killeen, Texas",65905.0,100444.0,7227.0,0.0,3.784646282653678
491,"Surprise, Arizona",42179.0,105218.0,17250.0,0.0,3.78027393853453
492,"Shreveport, Louisiana",78959.0,133352.0,9548.0,0.0,3.762297462043816
493,"Fayetteville, North Carolina",69683.0,175327.0,4287.0,0.0,3.761985545459095
494,"Augusta, Georgia",67895.0,124036.0,9921.0,0.0,3.753820803569474
495,"Jacksonville, North Carolina",35641.0,53051.0,746.0,0.0,3.6585396999509214
496,"Palm Coast, Florida",35042.0,60018.0,422.0,0.0,3.6498483042822065
497,"Edinburg, Texas",46944.0,60840.0,3453.0,0.0,3.616757818654623
498,"Brownsville, Texas",84060.0,153136.0,9108.0,0.0,3.6139728696416245
499,"Clarksville, Tennessee",69217.0,97131.0,3545.0,0.0,3.558626528709867
500,"Suffolk, Virginia",41451.0,41081.0,7561.0,0.0,3.503494634491726
