Rank,Name,1 - Least Walkable,2 - Below Avg,3 - Above Avg,4 - Most Walkable,Avg Walkability Index
75,"Dukes County, Massachusetts",49.0,5206.0,9155.0,2902.0,6.17303178811169
76,"Solano County, California",28231.0,88304.0,250614.0,74680.0,6.17180765695135
77,"Mercer County, New Jersey",17787.0,111414.0,166253.0,72468.0,6.168817174921802
78,"Portsmouth city, Virginia",7712.0,18106.0,53806.0,15473.0,6.159296906261366
79,"Covington city, Virginia",0.0,2801.0,1696.0,1101.0,6.126177582219214
80,"Monterey County, California",63925.0,68176.0,208542.0,92767.0,6.125144357051001
81,"San Diego County, California",165260.0,1000627.0,1512551.0,637635.0,6.120575126377685
82,"Essex County, Massachusetts",86924.0,195010.0,321703.0,180039.0,6.096504167538626
83,"Saline County, Kansas",7328.0,5684.0,32626.0,9063.0,6.0797430817679645
84,"Clark County, Nevada",126775.0,608011.0,1103007.0,344211.0,6.072805995627969
85,"Des Moines County, Iowa",6302.0,5067.0,19648.0,8369.0,6.046736483976407
86,"Cuyahoga County, Ohio",91625.0,294369.0,696478.0,164979.0,6.04121746117314
87,"Missoula County, Montana",20399.0,22149.0,46550.0,28211.0,6.039005622128873
88,"Benton County, Oregon",17279.0,12798.0,41303.0,19727.0,6.037519215404907
89,"Dallas County, Texas",180763.0,694996.0,1348971.0,382138.0,6.028863220256323
90,"Middlesex County, New Jersey",38082.0,271969.0,392504.0,123365.0,6.006162346550704
91,"Champaign County, Illinois",28249.0,40933.0,104837.0,35903.0,5.992406202002849
92,"Lane County, Oregon",68258.0,57604.0,170723.0,76755.0,5.973241196820734
93,"Buena Vista city, Virginia",0.0,2642.0,3842.0,0.0,5.969215721289656
94,"Kent County, Rhode Island",14335.0,42618.0,80307.0,26609.0,5.9687648445757855
95,"Hampton city, Virginia",5615.0,32278.0,86835.0,10313.0,5.953386866133054
96,"Monroe County, Florida",5077.0,33542.0,20843.0,16336.0,5.943991717598437
97,"Montgomery County, Alabama",29062.0,43762.0,120941.0,33176.0,5.94131259249158
98,"Newport County, Rhode Island",7891.0,27695.0,31766.0,15449.0,5.9276140194086135
99,"Douglas County, Nebraska",29926.0,196713.0,252498.0,81480.0,5.915447998413026
100,"Atlantic County, New Jersey",27226.0,82496.0,94423.0,61960.0,5.904404078722387
101,"Dakota County, Nebraska",4788.0,2688.0,6598.0,6099.0,5.904086233031651
102,"Radford city, Virginia",1702.0,4491.0,8677.0,2821.0,5.887087993002684
103,"Northampton County, Pennsylvania",54764.0,59523.0,121164.0,67358.0,5.883976020319217
104,"Nueces County, Texas",38751.0,87104.0,192333.0,43352.0,5.882180467765084
105,"Bristol County, Rhode Island",1194.0,15487.0,25680.0,6403.0,5.880381450509216
106,"Jefferson County, Kentucky",91131.0,211219.0,320552.0,144517.0,5.874160111943239
107,"Norfolk County, Massachusetts",62021.0,221072.0,296410.0,120934.0,5.867821652392496
108,"Schenectady County, New York",21499.0,31309.0,83119.0,18932.0,5.860279860695007
109,"Yamhill County, Oregon",22234.0,15778.0,42954.0,23865.0,5.85620038066281
110,"Dane County, Wisconsin",55596.0,161063.0,235757.0,83662.0,5.849422049933425
111,"Sutter County, California",14902.0,23746.0,45450.0,12011.0,5.832444083499492
112,"Polk County, Iowa",22088.0,156048.0,264576.0,36900.0,5.823413893335709
113,"Lucas County, Ohio",34662.0,121332.0,240218.0,34890.0,5.821419414968103
114,"Fulton County, Georgia",83279.0,373192.0,413306.0,166423.0,5.813339377685674
115,"Weber County, Utah",16031.0,71265.0,140919.0,23283.0,5.805444304045946
116,"El Paso County, Texas",91499.0,186581.0,492152.0,65830.0,5.802795001730543
117,"La Crosse County, Wisconsin",18778.0,37584.0,38210.0,23322.0,5.801567509796934
118,"Contra Costa County, California",76665.0,424622.0,478950.0,162014.0,5.794887947247654
119,"Clackamas County, Oregon",73017.0,98667.0,164583.0,74196.0,5.790711182763187
120,"Montgomery County, Pennsylvania",56229.0,305594.0,335917.0,126083.0,5.784365982549777
121,"Montgomery County, Ohio",56009.0,127607.0,296373.0,51681.0,5.775932092819745
122,"Fayette County, Kentucky",22320.0,95646.0,176149.0,26486.0,5.773456972833423
123,"Dauphin County, Pennsylvania",42112.0,85994.0,78107.0,69419.0,5.773309206325444
124,"Lake County, Ohio",27658.0,47807.0,121406.0,33083.0,5.772496032387255
125,"Spokane County, Washington",106479.0,83869.0,223602.0,91555.0,5.764920696812307
126,"Maricopa County, Arizona",401911.0,1286331.0,2133088.0,507480.0,5.761655299943256
127,"Potter County, Texas",24457.0,15109.0,60731.0,19377.0,5.7500642095235905
128,"Newport News city, Virginia",15503.0,49408.0,103180.0,11582.0,5.7473928513993435
129,"Franklin County, Ohio",100965.0,478661.0,528810.0,181924.0,5.744526619254358
130,"New Castle County, Delaware",61112.0,159892.0,260939.0,74222.0,5.74215030848002
131,"Davis County, Utah",14504.0,132782.0,158405.0,40076.0,5.741225723498315
132,"Prince George's County, Maryland",115976.0,234870.0,452349.0,105475.0,5.733098953762961
133,"San Bernardino County, California",231835.0,576050.0,1183767.0,157379.0,5.7233428877823
134,"Erie County, New York",98263.0,264645.0,445441.0,111006.0,5.718984219199444
135,"Sonoma County, California",64618.0,148423.0,220166.0,66565.0,5.718883811017825
136,"Albany County, New York",38939.0,89006.0,136681.0,42342.0,5.715826028154487
137,"Onondaga County, New York",89152.0,84931.0,240003.0,48786.0,5.705493720669395
138,"Fresno County, California",134170.0,257065.0,476274.0,117012.0,5.7015767592886055
139,"Jefferson County, Colorado",46884.0,219348.0,216930.0,91636.0,5.700817916628284
140,"Hamilton County, Ohio",93574.0,270272.0,332720.0,117023.0,5.697220489771409
141,"Hampden County, Massachusetts",76821.0,116483.0,211957.0,62610.0,5.696503388417118
142,"Franklin County, Washington",15287.0,20650.0,46253.0,9819.0,5.69430135839114
143,"DeKalb County, Georgia",85937.0,192026.0,411269.0,60091.0,5.694092358597097
144,"Minnehaha County, South Dakota",24099.0,62511.0,74436.0,27628.0,5.684613755946626
145,"Merced County, California",43860.0,49691.0,154820.0,23011.0,5.679914484496315
146,"San Benito County, California",11532.0,15079.0,22871.0,10894.0,5.6662881904974425
147,"Jackson County, Oregon",48998.0,41468.0,84500.0,41608.0,5.663153058660391
148,"Monmouth County, New Jersey",34184.0,258508.0,254533.0,74434.0,5.661707243292375
149,"Gallatin County, Montana",16024.0,39360.0,29577.0,23102.0,5.660958008413224
150,"Jackson County, Missouri",57453.0,258364.0,296440.0,83959.0,5.658315091868041
151,"Erie County, Pennsylvania",60293.0,44739.0,124169.0,44634.0,5.656025958774636
152,"Ingham County, Michigan",46007.0,54533.0,167372.0,22675.0,5.653208759112454
153,"Humboldt County, California",27084.0,29616.0,56948.0,22292.0,5.647523094554099
154,"Sarasota County, Florida",44990.0,137441.0,177244.0,59821.0,5.646941931821946
155,"Santa Barbara County, California",41405.0,165011.0,173821.0,64592.0,5.646594179123357
156,"Benton County, Washington",42040.0,28103.0,100384.0,26991.0,5.642488013084484
157,"Cape May County, New Jersey",5108.0,37376.0,36166.0,14436.0,5.635750528373875
158,"Virginia Beach city, Virginia",37883.0,144483.0,241759.0,26076.0,5.635203644126677
159,"San Joaquin County, California",74995.0,257541.0,346733.0,63334.0,5.625372294624803
160,"St. Louis County, Missouri",80904.0,381460.0,422262.0,112293.0,5.622122813018489
161,"Bexar County, Texas",173914.0,689341.0,881523.0,208065.0,5.621327078952124
162,"Marion County, Indiana",126001.0,299646.0,414811.0,111411.0,5.620530241031067
163,"Harris County, Texas",309841.0,2003527.0,1678211.0,655051.0,5.618754486131828
164,"Palm Beach County, Florida",147027.0,492300.0,679891.0,145809.0,5.613203589960781
165,"Campbell County, Kentucky",18610.0,22921.0,33458.0,17872.0,5.604144621361072
166,"New Haven County, Connecticut",136617.0,230381.0,406730.0,83785.0,5.604036876040609
167,"Ada County, Idaho",20629.0,236706.0,128194.0,71320.0,5.602124956409069
168,"Douglas County, Wisconsin",16122.0,2514.0,12499.0,12160.0,5.596963305596246
169,"Union County, Oregon",8019.0,2858.0,8766.0,6694.0,5.5921547232930235
170,"Travis County, Texas",133642.0,461266.0,451963.0,179934.0,5.592090108259387
171,"Baltimore County, Maryland",95004.0,275694.0,365778.0,91542.0,5.589104565613943
172,"Tippecanoe County, Indiana",48262.0,14928.0,96625.0,31738.0,5.585870558842173
173,"Bristol County, Massachusetts",86430.0,184899.0,195064.0,94644.0,5.584279974779786
174,"Snohomish County, Washington",143275.0,180487.0,374042.0,101004.0,5.580534898314279
175,"Riverside County, California",249410.0,797140.0,1175473.0,189416.0,5.57696641540154
176,"Linn County, Iowa",36847.0,68582.0,91536.0,26896.0,5.57400339355319
177,"Tulsa County, Oklahoma",67571.0,234810.0,286593.0,57445.0,5.566238119466428
178,"Centre County, Pennsylvania",39669.0,27818.0,61345.0,33128.0,5.563572227060612
179,"Utah County, Utah",65325.0,231135.0,226861.0,82169.0,5.562468022854044
180,"Chittenden County, Vermont",23622.0,55224.0,66110.0,17690.0,5.545340639697321
181,"New Hanover County, North Carolina",9271.0,111169.0,69302.0,38196.0,5.544934656746456
